129	7	3	1.3	7.5	0 
36	69	1	11.41	32	5.76 
7	41	1	4.6	15	5.76 
150	61	2	6.75	23	0 
112	17	1	3.84	15	0 
80	112	6	1.64	9.5	0 	
256	183	1	16.08	44.5	0
138	166	2	7.4	24.5	6.12
142	50	5	1.7	8	0
107	163	0	3.6	17	0
132	3	2	19.1	52	6.12
48	41	1	4.07	18	4.36
132	226	1	14.3	39	0
229	151	1	3.96	14.5	4.58
238	166	1	0.76	4.5	0
151	238	2	0.64	5	2.2
138	82	4	3	12	0
264	231	3	10.74	32.5	0
170	114	5	2.01	9	0
186	87	2	3.45	12	0
209	256	1	3.79	17	0
132	107	1	17.2	52	6.12
232	112	1	3.1	11	0
164	141	3	2.85	10.5	0
129	7	3	1.3	7.5	0 
36	69	1	11.41	32	5.76 
7	41	1	4.6	15	5.76 
150	61	2	6.75	23	0 
112	17	1	3.84	15	0 
80	112	6	1.64	9.5	0 	
256	183	1	16.08	44.5	0
138	166	2	7.4	24.5	6.12
142	50	5	1.7	8	0
107	163	0	3.6	17	0
132	3	2	19.1	52	6.12
48	41	1	4.07	18	4.36
132	226	1	14.3	39	0
229	151	1	3.96	14.5	4.58
238	166	1	0.76	4.5	0
151	238	2	0.64	5	2.2
138	82	4	3	12	0
264	231	3	10.74	32.5	0
170	114	5	2.01	9	0
186	87	2	3.45	12	0
209	256	1	3.79	17	0
132	107	1	17.2	52	6.12
232	112	1	3.1	11	0
164	141	3	2.85	10.5	0
